timestamp,open,high,low,close,volume
2023-12-01,2052.03,2110.0,2046.11,2086.99,18603.40916187
2023-12-02,2086.98,2187.99,2086.98,2165.6,19187.20773177
2023-12-03,2165.61,2217.74,2147.84,2193.33,23969.20911927
2023-12-04,2193.34,2275.38,2148.0,2243.02,49787.99338613
2023-12-05,2243.02,2310.04,2188.81,2292.9,32555.67129577
2023-12-06,2292.91,2316.37,2221.57,2233.47,26705.67982457
2023-12-07,2233.46,2382.0,2222.09,2356.41,34220.20023237
2023-12-08,2356.31,2390.0,2338.86,2358.77,30868.12958977
2023-12-09,2358.77,2401.82,2330.0,2340.25,22889.01717158
2023-12-10,2340.26,2378.28,2323.0,2351.33,12467.55827307
2023-12-11,2351.34,2353.47,1980.0,2224.51,44141.50797941
2023-12-12,2224.4,2241.48,2165.0,2201.84,22799.97274736
2023-12-13,2201.84,2283.59,2135.56,2260.41,24564.66700762
2023-12-14,2260.56,2332.43,2210.0,2316.1,20960.41715641
2023-12-15,2316.1,2316.8,2201.09,2218.77,17339.760609
2023-12-16,2218.99,2259.61,2212.46,2226.39,6533.7963641
2023-12-17,2226.39,2244.16,2192.17,2195.62,13726.92400661
2023-12-18,2195.01,2222.0,2116.6,2217.79,24356.474113
2023-12-19,2217.79,2253.4,2136.0,2177.29,21789.16342146
2023-12-20,2177.29,2265.0,2155.0,2200.78,32835.87552208
2023-12-21,2200.78,2280.45,2182.99,2239.64,29442.61106662
2023-12-22,2239.64,2342.82,2232.51,2326.61,45499.14168086
2023-12-23,2326.61,2330.73,2269.13,2309.12,21673.33625603
2023-12-24,2309.01,2326.09,2247.01,2264.8,19906.92357992
2023-12-25,2264.68,2303.2,2254.35,2272.94,14843.95936505
2023-12-26,2272.74,2274.58,2180.0,2230.95,24085.87251568
2023-12-27,2232.12,2397.0,2212.55,2380.4,38786.37603459
2023-12-28,2380.71,2445.04,2338.78,2346.63,58457.7137906
2023-12-29,2346.63,2385.0,2258.0,2299.87,31096.88054867
2023-12-30,2298.97,2322.2,2265.0,2292.03,10497.13310793
2023-12-31,2292.03,2318.3,2260.0,2281.95,13913.2722447
2024-01-01,2281.94,2352.57,2266.64,2352.57,13168.16008869
2024-01-02,2352.57,2430.92,2326.3,2356.21,29335.84633186
2024-01-03,2356.21,2384.01,1860.0,2210.31,46262.29322491
2024-01-04,2210.3,2297.5,2204.91,2268.7,17064.67341456
2024-01-05,2269.33,2278.0,2209.32,2269.24,16571.15598716
2024-01-06,2269.23,2271.61,2218.63,2240.84,10503.79033437
2024-01-07,2240.83,2256.0,2208.4,2220.78,11318.084459
2024-01-08,2222.38,2358.98,2118.0,2333.0,23678.71178332
2024-01-09,2333.01,2371.99,2230.0,2345.13,26788.42250965
2024-01-10,2345.09,2642.03,2342.79,2584.13,62769.10977108
2024-01-11,2584.06,2690.97,2567.52,2620.01,57643.03583545
2024-01-12,2620.01,2716.13,2438.29,2522.85,59103.78182652
2024-01-13,2522.86,2588.58,2498.0,2576.6,19041.72813838
2024-01-14,2576.6,2578.8,2468.78,2471.34,15705.46598109
2024-01-15,2471.04,2550.82,2469.81,2510.22,18108.71970635
2024-01-16,2510.23,2614.21,2499.28,2586.15,20532.50412647
2024-01-17,2586.59,2592.67,2507.46,2527.96,18081.43037855
2024-01-18,2527.96,2545.47,2424.55,2467.0,16479.37748045
2024-01-19,2467.0,2502.09,2413.99,2489.53,15712.75381097
2024-01-20,2490.08,2490.08,2458.17,2470.35,3906.74885267
2024-01-21,2470.35,2480.29,2450.83,2454.13,5250.77758934
2024-01-22,2454.13,2464.19,2302.16,2310.77,20344.05250845
2024-01-23,2311.05,2348.05,2165.9,2242.11,28801.66241324
2024-01-24,2240.92,2262.21,2196.3,2234.18,17550.4634286
2024-01-25,2233.96,2239.75,2170.82,2217.38,12179.21990251
2024-01-26,2217.38,2280.0,2195.52,2267.82,17703.59555451
2024-01-27,2267.82,2282.0,2252.06,2268.11,8664.84952321
2024-01-28,2266.59,2307.29,2241.35,2257.24,9228.69922901
2024-01-29,2257.24,2322.91,2234.11,2316.49,11545.5082628
2024-01-30,2316.5,2390.18,2296.73,2343.32,16957.51527118
2024-01-31,2343.4,2351.2,2263.5,2283.42,16578.02986039
2024-02-01,2283.41,2309.99,2241.45,2303.86,14021.482521
2024-02-02,2303.85,2322.56,2280.14,2306.46,9553.33053015
2024-02-03,2306.59,2327.55,2293.51,2294.43,3836.32858199
2024-02-04,2294.43,2309.41,2268.73,2288.62,8354.78170889
2024-02-05,2288.62,2334.62,2268.41,2299.02,7997.67866129
2024-02-06,2299.04,2389.78,2296.77,2372.13,14374.97205506
2024-02-07,2372.14,2442.99,2353.52,2423.67,30171.39844877
2024-02-08,2423.68,2462.16,2411.09,2419.62,43441.8374419
2024-02-09,2419.61,2524.31,2419.04,2487.21,34326.82317316
2024-02-10,2487.21,2516.05,2474.08,2500.02,12668.13883758
2024-02-11,2500.02,2538.1,2495.0,2507.02,6315.40772493
2024-02-12,2507.03,2665.23,2472.03,2659.0,19510.40638051
2024-02-13,2659.01,2685.24,2589.0,2641.74,22857.419012
2024-02-14,2641.73,2787.24,2620.23,2777.76,23014.17043031
2024-02-15,2777.51,2869.76,2764.52,2823.61,21445.36310018
2024-02-16,2823.61,2858.4,2717.32,2804.13,22360.17358029
2024-02-17,2804.16,2804.97,2722.0,2787.7,10208.20885354
2024-02-18,2787.69,2894.4,2768.06,2881.49,15523.30426341
2024-02-19,2881.5,2984.0,2860.0,2943.97,26946.93623108
2024-02-20,2943.98,3032.0,2876.51,3016.33,31294.2041659
2024-02-21,3016.13,3017.41,2865.18,2971.37,24723.46221684
2024-02-22,2970.35,3036.91,2906.0,2970.33,20589.33006809
2024-02-23,2970.33,2990.73,2907.7,2921.96,11211.41439572
2024-02-24,2921.96,3003.36,2907.7,2990.81,8102.55848646
2024-02-25,2991.7,3121.22,2985.0,3112.8,24300.99167964
2024-02-26,3112.79,3197.0,3036.68,3178.69,31581.02797467
2024-02-27,3178.69,3287.64,3163.26,3244.25,39224.61586289
2024-02-28,3244.59,3496.02,3111.0,3385.53,56659.57355394
2024-02-29,3385.67,3519.68,3305.0,3342.6,39266.22907384
2024-03-01,3342.6,3455.0,3341.19,3436.26,19126.02928526
2024-03-02,3436.26,3459.95,3399.0,3421.49,16338.08409431
2024-03-03,3421.49,3490.0,3360.0,3489.54,13549.93168727
2024-03-04,3489.53,3644.32,3430.64,3631.23,32075.87975273
2024-03-05,3633.2,3827.69,3211.27,3560.01,68852.7596915
2024-03-06,3560.0,3898.7,3499.57,3817.95,48810.17111636
2024-03-07,3821.01,3938.34,3738.34,3872.54,21715.9111546
2024-03-08,3873.26,3998.0,3824.77,3892.23,23240.20597795
2024-03-09,3892.23,3950.0,3880.46,3914.01,10418.67053305
2024-03-10,3914.01,3969.3,3800.86,3880.98,11207.73494559
2024-03-11,3880.98,4088.0,3739.2,4065.29,30295.37625934
2024-03-12,4065.3,4090.0,3830.56,3980.4,27307.47166558
2024-03-13,3980.93,4083.99,3937.0,4007.21,18307.1363724
2024-03-14,4006.11,4011.72,3722.46,3880.78,29625.13757859
